genre,piece,choreographer
Ballet,1812 Overture,William Tuckett
Ballet,3 : 4,William Tuckett
Ballet,A new pas de deux,Kenneth MacMillan
Ballet,Acheron's Dream,Matthew Hart
Ballet,Acte de présence,Frederick Ashton
Ballet,Ad Infinitum,Vanessa Fenton
Ballet,Adagio Hammerklavier,Hans van Manen
Ballet,Adieu,David Bintley
Ballet,Aeon's Run,Jacopo Godani
Ballet,After the Rain,Christopher Wheeldon
Ballet,After these things,Xander Parish
Ballet,Afternoon of a Faun,Jerome Robbins
Ballet,Agitator,Matjash Mrozewski
Ballet,Agon,George Balanchine
Ballet,Agon,Kenneth MacMillan
Ballet,Alice's Adventures in Wonderland,Christopher Wheeldon
Ballet,All Nighter,Tom Sapsford
Ballet,All Things Considered,William Tuckett
Ballet,Amazon Forest pas de deux,Frederick Ashton
Ballet,Ambar,Wayne McGregor
Ballet,Amores,Glen Tetley
Ballet,Anastasia (one act),Kenneth MacMillan
Ballet,Anastasia (three acts),Kenneth MacMillan
Ballet,Antigone,John Cranko
Ballet,Apollo,George Balanchine
Ballet,L'Après-midi d'un faune,Vaslav Nijinsky
Ballet,As One,Jonathan Watkins
Ballet,Asphodel Meadows,Liam Scarlett
Ballet,Le Baiser de la fée [1986],Kenneth MacMillan
Ballet,Le Baiser de la fée [1960],Kenneth MacMillan
Ballet,Ballade,Kenneth MacMillan
Ballet,Ballo della regina,George Balanchine
Ballet,Barber Violin Concerto,Peter Martins
Ballet,La Bayadère,"Natalia Makarova, Marius Petipa"
Ballet,La Bayadère (Act IV),"Marius Petipa, Rudolf Nureyev"
Ballet,Beauty and the Beast,Wayne Eagling
Ballet,Being and Having Been,Alastair Marriott
Ballet,La Belle dame sans merci,Andrée Howard
Ballet,Beyond Bach,Stephen Baynes
Ballet,Les Biches,Bronislava Nijinska
