date,mateve,piece,company
25 February 1958,Evening,The Prince of the Pagodas,The Royal Ballet
3 March 1958,Evening,The Rake's Progress,The Royal Ballet
3 March 1958,Evening,The Firebird,The Royal Ballet
3 March 1958,Evening,Scènes de ballet,The Royal Ballet
5 March 1958,Evening,Coppélia,The Royal Ballet
5 March 1958,Evening,Scènes de ballet,The Royal Ballet
6 March 1958,Evening,Les Sylphides,The Royal Ballet
6 March 1958,Evening,La Péri,The Royal Ballet
6 March 1958,Evening,Daphnis and Chloë,The Royal Ballet
10 March 1958,Evening,The Sleeping Beauty,The Royal Ballet
14 March 1958,Evening,Solitaire,The Royal Ballet
14 March 1958,Evening,The Rake's Progress,The Royal Ballet
14 March 1958,Evening,Daphnis and Chloë,The Royal Ballet
17 March 1958,Evening,Le Lac des cygnes,The Royal Ballet
18 March 1958,Evening,Petrushka,The Royal Ballet
18 March 1958,Evening,The Firebird,The Royal Ballet
18 March 1958,Evening,Solitaire,The Royal Ballet
21 March 1958,Evening,Scènes de ballet,The Royal Ballet
21 March 1958,Evening,Miracle in the Gorbals,The Royal Ballet
21 March 1958,Evening,Les Patineurs,The Royal Ballet
27 March 1958,Evening,Hamlet,The Royal Ballet
27 March 1958,Evening,Solitaire,The Royal Ballet
27 March 1958,Evening,Variation,The Royal Ballet
27 March 1958,Evening,"The Prince of the Pagodas - Pas de deux, Act III",The Royal Ballet
27 March 1958,Evening,La Péri,The Royal Ballet
27 March 1958,Evening,"Les Lac des cygnes - Neapolitan Dance, Act III",The Royal Ballet
27 March 1958,Evening,"The Sleeping Beauty - Aurora pas de deux, Act III",The Royal Ballet
16 April 1958,Evening,The Shadow,The Royal Ballet
16 April 1958,Evening,Giselle,The Royal Ballet
19 April 1958,Evening,Ballet Imperial,The Royal Ballet
19 April 1958,Evening,Les Patineurs,The Royal Ballet
19 April 1958,Evening,Miracle in the Gorbals,The Royal Ballet
8 May 1958,Evening,Homage to The Queen,The Royal Ballet
8 May 1958,Evening,Les Sylphides,The Royal Ballet
8 May 1958,Evening,Petrushka,The Royal Ballet
3 June 1958,Evening,Les Sylphides,The Royal Ballet
3 June 1958,Evening,Miracle in the Gorbals,The Royal Ballet
3 June 1958,Evening,Birthday Offering,The Royal Ballet
18 August 1958,Evening,The Sleeping Beauty,The Royal Ballet
19 August 1958,Evening,The Prince of the Pagodas,The Royal Ballet
20 August 1958,Evening,Daphnis and Chloe,The Royal Ballet
20 August 1958,Evening,Les Sylphides,The Royal Ballet
20 August 1958,Evening,Agon,The Royal Ballet
21 August 1958,Evening,Giselle,The Royal Ballet
